input,output
"Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
34 
Exercises: Now that we’ve seen a little bit about how we can force our opponents to give us a corner 
– these exercises will help us find the killer moves that are necessary to get the job done.  Find a 
move or short sequence that forces your opponent to give you a corner.  Note that in most of these 
positions there are multiple answers.  I’ve picked the shortest killer sequence as the answers.  If you 
found another forced sequence, good job! 
 
1. 
2. 
 
 
Black To Play 
Black To Play 
3. 
4. 
 
 
Black To Play 
Black To Play 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
35 
Answers: 
 
1. 
2. 
 
 
3. 
4. 
 
 
 
 
 
 
 
 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
36 
 
Exercises: Find the Perfectly Quiet Move in each of the following positions: 
 
1. 
2. 
 
 
BLACK TO PLAY 
BLACK TO PLAY 
3. 
4. 
 
 
BLACK OR WHITE TO PLAY 
WHITE TO PLAY 
 
 
 
 
 
 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
37 
 
Answers:  
 
1. F4 
2. H5 
3. C6 is a Perfectly Quiet Move for BOTH players 
4. H4 
 
 
Don’t leave yourself high and dry 
 
Let’s say that your opponent is trying to maximize their disks.  At some point in the game, you’re likely
Question: What does Randy Fang probably think about Othello?
===
The answer to the above question is",He likes it.
"Read the following context and answer the question.
Context: to get wiped out if you completely commit yourself to minimizing your disks.  The term for this situation 
is overevaporation.  Unfortunately, you can’t always focus on just minimizing your disks,you 
sometimes have to pay attention to make sure that you’re not going to wipe out.  Remember having 
fewer disks is a means to forcing your opponent to give you corners, it is not an end in and of itself. 
 
In order to avoid being wiped out by someone who is playing greedily, you’ll want to try to play moves 
that do 1 of 3 things (in this order of importance): 
 
 
Establish a stronghold on an edge that your opponent can’t flip 
 
Play a move that flips disks in more than one direction at once 
 
Play a move that makes a line that is not immediately reflippable. 
 
Let’s take a look at examples of each of these in turn. 
Establish a stronghold on an edge that your opponent can’t flip 
Edge disks are harder to flip than regular disks as they can only be flipped by other disks on the edge, 
instead of in 8 different ways like all the other disks.  By establishing a stronghold on the edge and not 
letting your opponent flip those disks, you guarantee yourself that you’ll have some disks to play off of 
later in the game. 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
38 
 
 
BLACK TO PLAY 
BLACK PLAYS H5 
 
In the above example, black could play moves like E7 or E2 that immediately get wiped out.  For
Question: What is probably true about Randy Fang?
Answer:",He is an expert in Othello
"In the above example, black could play moves like E7 or E2 that immediately get wiped out.  For 
instance, if black played E7 white would play E8.  In order to avoid being wiped out, black can try to 
establish a stronghold on an edge that White will never be able to flip.  For instance, if black were to 
play H5, then white can never take black off of the edge because no matter where white plays along 
the edge, black can just capture along the edge and protect his stronghold. 
 
 
 
WHITE PLAYS H4 
BLACK PLAYS H3 
 
For instance, if white tries to get on the edge with H4, black will just take the edge with H3.  As long as 
white can’t take black’s edge disks, black can’t be wiped out.  Notice that in the original diagram black 
had several other possible edge moves (A5, H4, H7), however, H5 is the quietest move and it leaves 
white with the fewest options (in fact , it’s an easy win for black), and that makes H5 the correct 
choice. 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
39 
Flip in more than one direction at once 
If you are dangerously low on disks, flipping more disks will help you avoid being wiped out.  That is 
one of the reasons that flipping in more than one direction at once is good.  You tend to flip more 
disks when you flip in more than one direction. Also, your opponent can never wipe you out on the 
move immediately following a move in which you’ve flipped in more than one direction. 
 
 
 
Black To Move
Question: What is the name of the game?
===
The answer to the above question is",Othello
"Read the following article and answer the question.
Article: Black To Move 
Black Plays B4 
 
In the above position, establishing a stronghold on the edge by playing C8 doesn’t work because then 
white plays E8 and neither player has any more legal moves (and thus white wins).  Obviously 
another idea is in order.  An example safe move is for black to play B4 which flips disks in 2 
directions.  After this move, white can’t wipe black out during his or her next move.  
 
Make a line that is not immediately reflippable 
Obviously if a line is not immediately reflippable then your opponent can’t wipe you out on the next 
move.  Making a non-reflippable line is usually a delaying tactic that you will use until you can play 
moves that meet one of the two above criteria. 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
40 
 
 
BLACK TO PLAY 
BLACK PLAYS C7 
 
In the above example, if it were white’s move, white would play H2 or G2 and wipe black out.  Since 
black has no moves that establish a stronghold on an edge – nor does he have any moves that flip in 
more than one direction at once, black’s only reasonable moves are ones that makes a line that white 
can’t immediately reflip.  In this case there are 2 moves that meet our criteria - C7 and G7.  Obviously  
black doesn’t want to give white the corner so black should play C7 here.  The move to C7 forms a 
line between C7 and G3 that white cannot immediately reflip the next turn.  Now, regardless of what
Question: What is the best title of the passage?
Answer:",Othello: From Beginner to Master
"line between C7 and G3 that white cannot immediately reflip the next turn.  Now, regardless of what 
white plays, black will have moves like H6 and B4 next move which will avoid being wiped out. 
What’s in an edge 
Let’s take a look at another position and see what we can learn from it: 
 
 
BLACK TO PLAY 
 
Othello: From Beginner to Master – More Othello Concepts 
Copyright © 2003, Randy Fang 
 
41 
So you’re looking at the position on the last page and you’re wondering “OK, black has a lot fewer 
disks and white has very poor mobility. How does black win a corner?”  The answer is: black can’t win 
a corner in this position (at least – not in the next couple of moves).  What’s different about this 
position?  Because of black’s disk placement, white only has one “dangerous” move that he could 
play if it were his turn, A2.  It is very easy for white to avoid playing to A2.  Let’s play fantasy Othello 
for a bit and move one disk on the board slightly: 
 
 
BLACK TO PLAY 
 
Now black does have a move that wins a corner (black plays B1 and white must play B2).  You should 
notice that in the second diagram, the disk that previously was in the middle of the board is now on 
the edge.  In fact, in all of the winning positions that were presented in the last chapter as examples 
(and in the current example as well), all of the correct moves for black to play (because they force 
white to lose a corner) were edge moves.  As mentioned in the last chapter, edge disks can only be
Question: Why did black win?
===
The answer to the above question is",because of black's disk placement
"white to lose a corner) were edge moves.  As mentioned in the last chapter, edge disks can only be 
flipped along the edge so this means that edge moves tend to be quieter than non-edge moves.  
Quieter moves give your opponent fewer options the next turn.  Eventually if you can play enough 
quiet edge moves, your opponent will run out of other moves and have to give you a corner.  This 
simple strategy is known as edge creeping because you are attempting to creep slowly along the 
edge until you win a corner. 
 
Another thing that you should notice is that in the original diagram, the black disk is on the outside of 
the mass of white disks where it could be flipped – which means that white has a couple of possible 
moves to begin with.  Disks that are on the outside of a mass of opposite colored disks that can be 
flipped are called frontier disks.  The edge disk in the second example isn’t a frontier disk at the 
current time because it can’t be flipped.  In the future, white may get a disk at D1 or black could play 
to D1 in which case C1 would become a frontier disk.  Since every frontier disk provides your 
opponent with a potential move, having,fewer frontier disks mean that you have a better position. 
 
Now that I’ve set some general guidelines, we’ll spend the next few chapters exploring the three 
phases of the game: the opening, the midgame, and the endgame.  We’ll look at how to apply these
According to the above context, answer the following question.
What is the author's goal in writing the book?",to help players of the game
"phases of the game: the opening, the midgame, and the endgame.  We’ll look at how to apply these 
guidelines to the three phases of the game as well as when these guidelines no longer apply. 
Othello: From Beginner to Master – Simple Opening Advice 
Copyright © 2003, Randy Fang 
 
42 
Simple Opening Advice 
 Understanding is the key 
 More of the same 
 A few new ideas 
 Pay attention! 
 
In chess, one of the biggest mistakes that I feel that beginning players make is to assign too much 
importance to the openings.  They feel that better players are “tricking them” by being better prepared 
in the openings.  So, they rush out and buy a book of openings and start memorizing them.  While I 
feel that having an opening repertoire is useful for a more seasoned player, it is much more important 
for a beginner to understand the WHY of an opening.  When you memorize openings without 
understanding why you are making the moves, the instant you venture into unfamiliar territory, you are 
likely to blunder.  What I do recommend is to keep your eyes open and trying to learn from your 
mistakes. 
 
Do you keep making the same kinds of moves and keep getting into bad positions because of them?  
I know it sounds obvious, but figure out what it is that you’re doing wrong and try not to do it anymore.  
Thinking about what concepts and ideas do work and what ones don’t work will help you all the way 
from beginner through master.
According to the above context, answer the following question.
Why does the author recommend learning from mistakes?",because you will make mistakes
"Read the following article and answer the question.
Article: from beginner through master. 
 
Now that I’ve encouraged you to experiment and discover openings on your own, I’ll try to give some 
general advice about what you should be trying to accomplish during an opening.  Much of what I 
have to say is similar to the advice that I’ve given in the previous sections but it doesn’t hurt to re-
iterate it here.   
 
 
Try not to take too many disks.   
 
Try to head for the edges.   
 
Try to limit your frontier.   
 
Don’t play into X-squares or C-squares where you’re putting yourself in a dangerous position.   
 
In addition to these basic concepts, there are a few new concepts I’d like to introduce here as well. 
 
The first concept I’d like to introduce is the Sweet 16 – this term refer to the central 16 squares of the 
board: 
 
 
Othello: From Beginner to Master – Simple Opening Advice 
Copyright © 2003, Randy Fang 
 
43 
 
THE SWEET SIXTEEN 
 
 
In the opening it’s generally better to play a move into the Sweet 16 than another move elsewhere on 
the board.  It also stands to reason that preventing your opponent from getting moves into the Sweet 
16 is also a good thing.  Disks played in the sweet 16 don’t let your opponent reach an edge (where 
they may try to edge creep).  Additionally, disks in the Sweet 16 are less likely to remain frontier disks 
during the course of a game. 
 
 
Another useful rule is that staying in the middle of 
your opponent’s disks is good.   
 
This is called staying central.
Question: What is the purpose of the passage?
Answer:",To give advice on how to play Othello.
"your opponent’s disks is good.   
 
This is called staying central. 
 
Notice that white only has two frontier disks (B4 
and B4) in this position because white’s disks are 
central to black’s disks.  As we discovered in the 
last section, having fewer frontier disks is usually 
a good thing. 
 
 
Another good idea is to stay compact.  Being compact means that you don’t want your disks spread 
out all over the place.  You definitely don’t want spaces in between your disks because those squares 
are very likely places for your opponent to play to stay central to your disks.  Notice how in the 
previous example all of white’s disks are in one big clump while black’s disks are almost cut in two by 
white’s disks.  In the example, white is compact and black isn’t.  Staying compact also tends to lead to 
fewer frontier disks. 
Othello: From Beginner to Master – Simple Opening Advice 
Copyright © 2003, Randy Fang 
 
44 
 
 
 
BLACK TO PLAY 
BLACK PLAYS C4 
 
One good way to stay compact, central, and to avoid having a lot of frontier disks is to play a move 
that reflips one of the disks that your opponent just flipped.  For example, in the above diagram, white 
has just played to C3.  Black responds by reflipping the disk at D4 by playing to C4.  After this move, 
black is both central and compact. 
 
Before I close out this chapter let’s take a look at a common mistake that I see beginners make very 
often that emphasizes the necessity of staying central and compact.
According to the above context, answer the following question.
What does the author think of the beginners' common mistake?",It emphasizes the importance of staying central and compact
"often that emphasizes the necessity of staying central and compact. 
 
 
WHITE TO PLAY 
 
The above diagram can be reached by playing E6, F4, E3 – we are 3 moves into the game.  White 
has 4 options here, however, only one of them is any good. 
Othello: From Beginner to Master – Simple Opening Advice 
Copyright © 2003, Randy Fang 
 
45 
 
 
 
 
AFTER D2 
AFTER F2 
 
D2 and F2 – D2 and F2 only flip one disk but they have several other drawbacks.  They’re not in the 
Sweet 16 and they’re not central either, in fact, either D2 or F2 will become frontier disks in typical 
continuations from this position.  They aren’t compact – as white is leaving “holes” in his position for 
black to play into.  After playing D2, white has a “hole” at D2 that is very tempting for black to play 
into.  After F2, there is a “hole” at F3 that is very tempting to play into (though at the moment black 
can’t play to that square). 
 
 
 
AFTER F6 
BLACK PLAYS F5 
 
F6 – This move also only flips one disk, however, black immediately responds with F5 thus reflipping 
the disk that was just flipped.  In fact, F5 is a perfectly quiet move for black and after playing F5 black 
Othello: From Beginner to Master – Simple Opening Advice 
Copyright © 2003, Randy Fang 
 
46 
is very central and compact while white is spread out along the frontier.  Yes , black has more disks 
but because of where they are white’s position is not very good at all. 
 
 
AFTER D6
Question: What is the author's occupation?
===
The answer to the above question is",not enough information
"Read the following context and answer the question.
Context: but because of where they are white’s position is not very good at all. 
 
 
AFTER D6 
 
D6 – This move flips two disks, which isn’t a lot in the grand scheme of things (it may seem like a lot 
because there aren’t many disks to begin with).  While D6 does flip more disks than what the other 
moves flip, after D6 white is both central and compact while black is stuck on the outside.  D6 is the 
clearly the best move in this position. 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
47 
Simple Midgame Advice 
 It’s all about mobility 
 Tempo 
 
As we’ve noticed in the previous sections, having and keeping mobility is a very important thing.  
When you run out of mobility it’s very likely that your opponent is going to force you to give up a 
corner and they will win.  In the midgame, your job is usually to avoid running out of mobility while 
retaining a good position and trying to run your opponent out of mobility in return.  Often, you will find 
that there are moves that you are forced to play or your opponent will run you out of mobility.  Most of 
the time when I refer to a move as being a forced move, it means that the move must be played to 
prevent the other player from attaining a killer sequence. Obviously, if there is only one valid move on 
the board it is also a forced move.  Let’s take a look at a position where one of the players has a 
forced move. 
 
 
 
BLACK TO PLAY
Question: What is probably true about the author?
Answer:",He is an Othello expert
"Read the following context and answer the question.
Context: forced move. 
 
 
 
BLACK TO PLAY 
 
In the above position, white is already way ahead on mobility but black isn’t dead just yet.  While white 
is certainly winning he or she should still have to work to finish off the game if black plays accurately.  
However, black’s next move is forced.  Black MUST play B1 here.  If black doesn’t play B1 then white 
will take the edge with G1 next turn.  To understand why, let’s take a look at what happens if black 
plays a different move. 
 
 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
48 
 
BLACK PLAYS H6 –  WHITE PLAYS G1 
 
If black plays H6 then white responds with G1.  Black is then forced to play G6 next (as it’s the only 
legal move) to which white responds B1 and then black must play an X-square.  If, in the original 
position, black takes the edge by playing B1, his position isn’t exactly desirable, but he survives a 
while longer and gives white the opportunity to make a mistake. 
 
 
 
BLACK PLAYS G6 –  WHITE PLAYS B1 
 
 
 
 
 
 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
49 
 
In the example, both players can take the north edge with a gain of tempo.  We say that a player has 
gained a tempo when they play a move or a sequence of moves that gain them an additional safe 
move without giving their opponent any new safe moves. Additionally, after white has played to G1,
Question: What is the name of the game that is mentioned?
Answer:",Othello
"Read the following context and answer the question.
Context: move without giving their opponent any new safe moves. Additionally, after white has played to G1, 
B1 becomes a safe move for white and playing B1 doesn’t create any new safe moves for black.  
Thus white has gained two tempo via this sequence.  Very often, the moves that are the most likely to 
be forced are moves that we have to play in order to prevent our opponent from gaining too many 
tempo.  In fact, there are times when it is possible to win 3 or 4 tempo with proper play!  Let’s take a 
look at an example. 
 
 
 
BLACK TO PLAY 
BLACK PLAYS C1 
 
 
In this diagram, the move to C1 is the first tempo that is won in a sequence that wins 4 tempo for 
black!  Even if white could somehow pass for the next 3 moves, black would still be in good shape.  
Let’s take a look at this fictional “game” where black plays the next 3 moves and uses up all of his or 
her spare tempo. 
 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
50 
 
 
BLACK PLAYS F1 
BLACK PLAYS B1 
 
 
 
BLACK PLAYS G1 
 
Another common example of a forced move is when your opponent is threatening to take a corner 
and you have to play a certain move to prevent that from happening.  Let’s look at an example: 
 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
51 
 
 
WHITE TO PLAY 
WHITE PLAYS A6 
 
 
In the above picture, while white has many possible moves, white is forced to play A6 even though
Question: What does the author probably believe about the game of Othello?
Answer:",It is a fun game to play
"In the above picture, while white has many possible moves, white is forced to play A6 even though 
this move flips a lot of black disks and almost eliminates black’s frontier.  If white doesn’t take the 
edge, black wins the A1 corner and wins the game convincingly. 
 
From the above examples, it’s easy to see that a lot of times we will be forced to take edges in order 
to prevent our opponent from gaining enough tempo to run us out of mobility or to prevent them from 
taking corners. 
 
Often, when we’re looking for a killer sequence, we are looking for a way to win a single tempo 
because if we win a single tempo our opponent runs out of safe moves. 
 
 
BLACK TO PLAY 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
52 
 
In the example, while white has no safe moves at the moment, every black move gives white more 
safe moves to play. For instance, if black plays F7 then white can safely play to F8.    In fact, if black 
could pass here, he would win because white would be forced to give him the H1 corner. Fortunately, 
black has a forcing sequence that wins a tempo which in many cases is the same as passing.  If black 
plays D1 then white will be forced to play B1 to protect the H1 corner.  Black can then win the game 
by playing F2 forcing white to lose the H1 corner. 
 
 
 
BLACK PLAYS D1 
WHITE PLAYS B1 (FORCED) 
 
 
BLACK PLAYS F2 AND WINS
According to the above context, answer the following question.
What is the reason that white is forced to play A6?",It flips a lot of black disks and almost eliminates black's frontier.
"Read the following context and answer the question.
Context: BLACK PLAYS D1 
WHITE PLAYS B1 (FORCED) 
 
 
BLACK PLAYS F2 AND WINS 
 
Because Othello is a game where you often want to pass in order to improve your position , winning 
tempo from your opponent and not losing any tempo in return will often go a long way towards 
winning a game. 
 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
53 
 
Exercises:  
 
1. 
2. 
 
 
BLACK TO PLAY AND GAIN TEMPO 
WHAT IS WHITE’S FORCED NEXT MOVE? 
3. 
4. 
 
 
WHITE TO PLAY AND WIN 
WHITE TO PLAY AND WIN 
 
 
 
 
 
 
 
Othello: From Beginner to Master – Simple Midgame Advice 
Copyright © 2003, Randy Fang 
 
54 
Answers:  
 
1. Black plays G1. 
2. White plays B1 (otherwise Black wins tempo with G1 and then B1). 
3.   
 
 
 
 
 
 
 
 
 
 
 
 
 
 
4.  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
55 
Simple Endgame Advice 
 Build on what you already know 
 More is More 
 Rules are made to be broken … 
 
Now it’s time to finish off your opponent with a flourish.  The corners that your opponent had to give 
you are now turning into anchors from which you’ll build your empire.  The first order of business is to 
consolidate to your color as many disks near your corner as possible.  As disks near your corner are 
captured, more and more of them will become stable.  If your position is good enough, you’ll even
Question: When does the game end?
Answer:",when one player has no moves left
"captured, more and more of them will become stable.  If your position is good enough, you’ll even 
have a chance to build in a way that will force your opponent to give you another corner.  After taking 
that second corner, you can consolidate around it as well.   Let’s look at a quick example: 
 
 
 
STARTING POSITION 
BLACK PLAYS G3 
 
There are several ways to consolidate disks near the H8 corner – because the disk at G6 is closer to 
H8 than any of the other white disks, we’ll play G3 – which flips that disk in the least disruptive way 
possible.  Notice that D3 would also flip the G6 disk – however, after G3, white has 2 options, after 
D3, white has 6 options.  Once your have your opponent under control, its better if you keep them 
under control and limit what they can do.  The more options they have, the more complicated the 
position will become and the more complicated the position is, the easier it is to make a mistake that 
will lose disks.  While black isn’t in any danger of losing after D3, white may be able to salvage 15-20 
disks if black plays inaccurately.  However, after G3 white is still in danger of being wiped out, even if 
black makes a few minor errors.  It’s also much easier to calculate ahead when your opponent only 
has one or two options because then you can concentrate on finding your best moves instead of 
having to worry about them fighting back. 
 
After G3, white has 2 options, H3 and H2.  Let’s look at both:
According to the above context, answer the following question.
After the end of the story, the narrator is probably",playing go
"After G3, white has 2 options, H3 and H2.  Let’s look at both: 
 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
56 
 
 
WHITE PLAYS H3 
BLACK PLAYS H2 
 
OR 
 
 
 
WHITE PLAYS H2 
BLACK PLAYS C7 
 
 
If white plays H3, then black plays H2.  White has to play G2 the next move and black will easily take 
the northeast corner.  If white plays H2, then black plays C7 and then white is forced to play H3 also 
giving up the corner.  After taking the northeast corner, black will consolidate around that corner as 
well and will have an overwhelming advantage. 
 
 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
57 
Exercises: In the following diagrams, find a wipeout sequence.  In most of the puzzles there is more 
than one wipeout sequence but only one solution is given, if you find another - good job!  I’ve 
deliberately made these exercises quite a bit harder than the previous ones on building.  In fact, I had 
a lot of trouble with the #3 and #4 myself!  These more difficult puzzles are meant to hone your skills 
to the point that they’re razor sharp. With a little more practice, winning this type of position will 
become second nature to you. 
 
1. 
2. 
 
 
Black To Play 
Black To Play 
3. 
4. 
 
 
Black To Play 
Black To Play 
 
 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
58 
 
Answers: 
 
1. 
2. 
 
 
3. 
4.
Question: What is the best way to get good at Othello?
===
The answer to the above question is",Practice
"Read the following article and answer the question.
Article: Copyright © 2003, Randy Fang 
 
58 
 
Answers: 
 
1. 
2. 
 
 
3. 
4. 
 
 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
59 
 
Counting and Basic Endgame Theory 
Of course, building is only going to help when you’re way ahead.  At some point in a closer game you 
have to remember that you want to have the most disks at the end and more importantly the end is 
getting near.  You are trying to keep the number of disks that you have to a small number as 
suggested in the previous sections, right?   
 
Obviously, at the end of the game, keeping your disks to a minimum is not as good of an idea.  You 
have to start playing moves that take a lot of disks.  Usually, in a fairly even game, this is when there 
are about 8 or 10 empty squares on the board.  Unfortunately there’s no hard or fast rule for when you 
should start taking a lot of disks, however, if you can take a lot of disks and most are stable or they 
make other disks that you have stable, then it is probably a good idea. 
 
 
BLACK TO PLAY 
 
We’ll start with the simple example shown above.  We’re at the last 2 moves of the game – so this 
should be easy. This process of calculating the best play sequence is called counting.  Counting is a 
difficult skill to master and there are many strategies for it.  I prefer to simply employ a plus minus 
count of disks and see which sequence is “optimal”.
Question: Which of the following is TRUE about the game of Othello?
Answer:",There are many strategies for counting.
"count of disks and see which sequence is “optimal”. 
 
Let’s count black’s move to A1 first.  Black plays A1, that’s +5 black disks.  White Plays A2 (flipping 
B2), that’s -1 black disk.  So +5 – 1 =  +4 black disks.  The sequence where black plays A1 ends up 
with 4 more disks than in the original position.  That’s not bad. 
 
Just to be on the safe side, let’s check and make sure that the move to A2 doesn’t get more disks.  
Black plays A2 and gets +9 black disks.  White plays A1 and flips B2 and A2, that’s -2 black disks.  +9 
– 2 = +7 black disks! 
So, taking the corner in this case is the wrong move.  In fact, if we count the disks currently on the 
board, black has 26 disks.  26 + 4 = 30.  Black loses 30-34 if he takes the corner.  26 + 7 = 33.  Black 
wins 33-31 if he plays A2.  The difference between winning and losing is in understanding why this is 
the case.  For one thing,  the move to A2 simply flips more disks.  With only 1 move left, white can’t 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
60 
flip enough of them back to make the corner worth very much.  Remember, the reason that corners 
are important is that they tend to lead to stable disks.  Here, there isn’t anywhere for white to build off 
of, so the corner isn’t worth very much.  What we can learn from this fiasco is that rules are meant to 
be broken and that corners become worth less late in the game because there are fewer opportunities
According to the above context, answer the following question.
What is probably true about the author?",They like to play games
"be broken and that corners become worth less late in the game because there are fewer opportunities 
left to build from them. 
 
 
BLACK TO PLAY 
 
In the above example, Black has 3 choices.  Obviously A2 (giving up the corner for no reason) isn’t 
helpful, so let’s look at the other 2 options and how they play out.   
 
B1 -  After B1, white is forced to play to B2.  The position after B1 B2 should look familiar because it is 
the position from the previous example!  After B1 B2, Black would play A2, winning 33-31. 
 
B2 – This flips 14 disks and many of them become stable. 
If White Plays B1 (-3) – Black Plays A1 (+2) then White Plays A2.(-2) –  
            +14 -3 +2 -2 = +11 
            If White Plays A2 (-1) then Black Passes 
                                   If White Plays A1 (-5) then Black plays B1 (+3) 
                                   +14 -1 -5 +3 = +11 
                                   If White Plays A2 (-4) then Black Plays A1 (+3) 
 
 
 
+14 -1 -4 +3 = +13 
 
If White Plays A1 (-5) 
 
 
 
If Black Plays B1 (+2) then White Plays A2 (-1) 
                                    +14 -5 +2 -1 = +10 
                                    If Black Plays A2 (+2) then White Plays B1 (-3) 
                                    +14 -5 +2 -3 = +8 
 
After all this calculation, we see that the best sequence after B2 is A1 B1 A2. +10.  In the original 
position, Black has 25 disks.  This means that with perfect play black will win 35-29.  Since 35-29 is
Question: After the end of this story, Black probably is:
===
The answer to the above question is",satisfied
"Read the following article and answer the question.
Article: Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
61 
better than 33-31, B2 is the best move for black in the example position.  Clearly being greedy and 
playing B2 and flipping a lot of disks works out well in this position. 
 
 
 
Before we get too greedy and always start playing the move that flips the most disks on the board  
let’s take a look at the above position. 
 
If Black Plays A1 (+2) – White plays A2 (-1) = +1 
If Black Plays A2 (+9) – White plays A1 (-10) = -1 
 
Oops! Even though the move to A2 flips more disks, it’s the wrong move.  By playing to A2, black lets 
white flip all the disks on the A1-H8 diagonal as well as all the new black disks on the A edge. 
 
One of the most difficult parts of Othello is playing proper endgames because at times the right 
sequence is nearly impossible to see without counting every possible variation, and that quickly 
becomes impossible, even for master level players.  Even top human players make endgame errors, 
however, the errors that they make tend to be small (2 or 4 disks) and they tend get a lot of the moves 
right.  On the other hand, I’ve watched games between beginners where both players trade endgame 
errors that are 8 to 10 disks wrong at almost every move. 
 
One important rule we can follow when counting is to know that in almost all cases, if we have a 
sequence in which we get all of the remaining moves, it will probably be the best sequence.
Question: From the passage, we can know that the writer is   _  .
Answer:",a game expert
"Read the following context and answer the question.
Context: sequence in which we get all of the remaining moves, it will probably be the best sequence. 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
62 
 
WHITE TO PLAY 
 
If I were to sit down at the above game I would immediately play A1 as white.  After playing A1, black 
is forced to pass.  Then white plays B2 as well.  If white were to play B2 first, black would be able to 
play A1.  If I can get all the disks I would get by playing B2 AND all the disks from playing A1, it has to 
be better than just getting the disks from playing B2 (-2 because black flips the A2 and B2 disks when 
he plays A1).  If we were to sit down and count this position.  We would find out that A1 wins 39-25 
while B2 loses 30-34. 
 
 
BLACK TO PLAY 
 
If I were to sit down at the above game I would immediately play A1, Pass, B1, Pass, H8 and I get all 
3 moves.  Clearly, playing B1 isn’t good as white just plays A1 and black doesn’t get the A1-H8 
diagonal.  If black were to play H8 first and then A1 white would just play B1 because the B2 disk 
would get flipped.  Without even bothering to count I know that A1 then B1 then H8 has to be best. 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
63 
Exercises: Because people DO make errors, even with 3 or 4 empty – it is in your best interest to 
learn how to play simple endgames correctly.  Not only will you win close games that are “won” for
Question: Why does the author believe that black playing H8 first is not good?
Answer:",Because white will just play B1 because the B2 disk would get flipped
"learn how to play simple endgames correctly.  Not only will you win close games that are “won” for 
you, you’ll also win some close games where your opponent will make a mistake or miscount.  In the 
following exercises, find the winning sequence. 
 
1. 
2. 
 
 
BLACK TO PLAY 
WHITE TO PLAY 
3. 
4. 
 
 
WHITE TO PLAY 
WHITE TO PLAY 
 
 
 
 
 
 
Othello: From Beginner to Master – Simple Endgame Advice 
Copyright © 2003, Randy Fang 
 
64 
Answers:  
 
1. 
2. 
 
 
BLACK WINS 33-31 
WHITE WINS 33-31 
3. 
4. 
 
 
WHITE WINS 33-31 
WHITE WINS 40-24
Question: Who is the author of the Othello book?
===
The answer to the above question is",Randy Fang
